Id,m1
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/EC2 AutoScalingGroupName:asg-cpu-based CPUUtilization Average 60
Label,CPUUtilization
2026/05/24 18:30:00,0.17502546974442282
2026/05/24 18:31:00,
2026/05/24 18:32:00,
2026/05/24 18:33:00,
2026/05/24 18:34:00,
2026/05/24 18:35:00,0.14833190922712952
2026/05/24 18:36:00,
2026/05/24 18:37:00,
2026/05/24 18:38:00,
2026/05/24 18:39:00,
2026/05/24 18:40:00,0.2549779361563952
2026/05/24 18:41:00,
2026/05/24 18:42:00,
2026/05/24 18:43:00,
2026/05/24 18:44:00,
2026/05/24 18:45:00,0.7349941605241472
2026/05/24 18:46:00,
2026/05/24 18:47:00,
2026/05/24 18:48:00,
2026/05/24 18:49:00,
2026/05/24 18:50:00,0.13833930805743969
2026/05/24 18:51:00,
2026/05/24 18:52:00,
2026/05/24 18:53:00,
2026/05/24 18:54:00,
2026/05/24 18:55:00,0.14500004508356945
2026/05/24 18:56:00,
2026/05/24 18:57:00,
2026/05/24 18:58:00,
2026/05/24 18:59:00,
2026/05/24 19:00:00,0.1383457877023929
2026/05/24 19:01:00,
2026/05/24 19:02:00,
2026/05/24 19:03:00,
2026/05/24 19:04:00,
2026/05/24 19:05:00,7.978309922447011
2026/05/24 19:06:00,
2026/05/24 19:07:00,
2026/05/24 19:08:00,
2026/05/24 19:09:00,
2026/05/24 19:10:00,6.004266280913143
2026/05/24 19:11:00,
2026/05/24 19:12:00,
2026/05/24 19:13:00,
2026/05/24 19:14:00,
2026/05/24 19:15:00,0.5002682734755215
2026/05/24 19:16:00,
2026/05/24 19:17:00,
2026/05/24 19:18:00,
2026/05/24 19:19:00,
2026/05/24 19:20:00,0.17836280381003214
2026/05/24 19:21:00,
2026/05/24 19:22:00,
2026/05/24 19:23:00,
2026/05/24 19:24:00,
2026/05/24 19:25:00,0.14666376643569995
2026/05/24 19:26:00,
2026/05/24 19:27:00,
2026/05/24 19:28:00,
2026/05/24 19:29:00,
2026/05/24 19:30:00,0.1500105823027303
2026/05/24 19:31:00,
2026/05/24 19:32:00,
2026/05/24 19:33:00,
2026/05/24 19:34:00,
2026/05/24 19:35:00,0.6978126656381789
2026/05/24 19:36:00,
2026/05/24 19:37:00,
2026/05/24 19:38:00,
2026/05/24 19:39:00,
2026/05/24 19:40:00,1.3838536381008897
2026/05/24 19:41:00,
2026/05/24 19:42:00,
2026/05/24 19:43:00,
2026/05/24 19:44:00,
2026/05/24 19:45:00,0.19506336152490253
2026/05/24 19:46:00,
2026/05/24 19:47:00,
2026/05/24 19:48:00,
2026/05/24 19:49:00,
2026/05/24 19:50:00,0.15496713284780497
2026/05/24 19:51:00,
2026/05/24 19:52:00,
2026/05/24 19:53:00,
2026/05/24 19:54:00,
2026/05/24 19:55:00,0.22831273825456438
2026/05/24 19:56:00,
2026/05/24 19:57:00,
2026/05/24 19:58:00,
2026/05/24 19:59:00,
2026/05/24 20:00:00,0.7132490539164247
2026/05/24 20:01:00,
2026/05/24 20:02:00,
2026/05/24 20:03:00,
2026/05/24 20:04:00,
2026/05/24 20:05:00,1.1248814040403325
2026/05/24 20:06:00,
2026/05/24 20:07:00,
2026/05/24 20:08:00,
2026/05/24 20:09:00,
2026/05/24 20:10:00,4.126328531669567
2026/05/24 20:11:00,
2026/05/24 20:12:00,
2026/05/24 20:13:00,
2026/05/24 20:14:00,
2026/05/24 20:15:00,5.611712568186741
2026/05/24 20:16:00,
2026/05/24 20:17:00,
2026/05/24 20:18:00,
2026/05/24 20:19:00,
2026/05/24 20:20:00,5.425859388113155
2026/05/24 20:21:00,
2026/05/24 20:22:00,
2026/05/24 20:23:00,
2026/05/24 20:24:00,
2026/05/24 20:25:00,5.868313589517709
2026/05/24 20:26:00,
2026/05/24 20:27:00,
2026/05/24 20:28:00,
2026/05/24 20:29:00,
2026/05/24 20:30:00,4.272765541473421
2026/05/24 20:31:00,
2026/05/24 20:32:00,
2026/05/24 20:33:00,
2026/05/24 20:34:00,
2026/05/24 20:35:00,1.0484934991482642
2026/05/24 20:36:00,
2026/05/24 20:37:00,
2026/05/24 20:38:00,
2026/05/24 20:39:00,
2026/05/24 20:40:00,1.075
2026/05/24 20:41:00,
2026/05/24 20:42:00,
2026/05/24 20:43:00,
2026/05/24 20:44:00,
2026/05/24 20:45:00,0.9631674545645499
2026/05/24 20:46:00,
2026/05/24 20:47:00,
2026/05/24 20:48:00,
