Id,m1
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/SQS QueueName:attendance-queue ApproximateNumberOfMessagesVisible Average 60
Label,ApproximateNumberOfMessagesVisible
2026/06/01 08:42:00,21
2026/06/01 08:43:00,62
2026/06/01 08:44:00,129
2026/06/01 08:45:00,216
2026/06/01 08:46:00,349
2026/06/01 08:47:00,742
2026/06/01 08:48:00,1384
2026/06/01 08:49:00,2035
2026/06/01 08:50:00,2035
2026/06/01 08:51:00,3349
2026/06/01 08:52:00,4016
2026/06/01 08:53:00,4667
2026/06/01 08:54:00,5341
2026/06/01 08:55:00,5971
2026/06/01 08:56:00,6626
2026/06/01 08:57:00,7296
2026/06/01 08:58:00,7988
2026/06/01 08:59:00,8878
2026/06/01 09:00:00,9892
2026/06/01 09:01:00,11195
2026/06/01 09:02:00,12542
2026/06/01 09:03:00,12542
2026/06/01 09:04:00,15240
2026/06/01 09:05:00,16576
2026/06/01 09:06:00,17646
2026/06/01 09:07:00,19251
2026/06/01 09:08:00,20577
2026/06/01 09:09:00,21880
2026/06/01 09:10:00,23177
2026/06/01 09:11:00,24104
2026/06/01 09:12:00,25027
2026/06/01 09:13:00,26203
2026/06/01 09:14:00,28542
2026/06/01 09:15:00,29474
2026/06/01 09:16:00,30503
2026/06/01 09:17:00,32298
2026/06/01 09:18:00,33393
2026/06/01 09:19:00,33393
2026/06/01 09:20:00,34801
2026/06/01 09:21:00,35022
2026/06/01 09:22:00,35230
2026/06/01 09:23:00,35432
2026/06/01 09:24:00,35656
2026/06/01 09:25:00,35881
2026/06/01 09:26:00,36058
2026/06/01 09:27:00,36281
2026/06/01 09:28:00,36515
2026/06/01 09:29:00,36741
2026/06/01 09:30:00,36945
2026/06/01 09:31:00,37107
2026/06/01 09:32:00,37310
2026/06/01 09:33:00,37543
2026/06/01 09:34:00,37776
2026/06/01 09:35:00,37936
2026/06/01 09:36:00,38235
2026/06/01 09:37:00,38407
2026/06/01 09:38:00,38571
2026/06/01 09:39:00,38856
2026/06/01 09:40:00,39123
2026/06/01 09:41:00,39123
