Id,m1
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/EC2 AutoScalingGroupName:asg-cpu-based CPUUtilization Average 60
Label,CPUUtilization
2026/06/01 08:45:00,0.456737661409627
2026/06/01 08:46:00,
2026/06/01 08:47:00,
2026/06/01 08:48:00,
2026/06/01 08:49:00,
2026/06/01 08:50:00,0.5833335019167885
2026/06/01 08:51:00,
2026/06/01 08:52:00,
2026/06/01 08:53:00,
2026/06/01 08:54:00,
2026/06/01 08:55:00,0.45323254229200993
2026/06/01 08:56:00,
2026/06/01 08:57:00,
2026/06/01 08:58:00,
2026/06/01 08:59:00,
2026/06/01 09:00:00,0.6350967985776362
2026/06/01 09:01:00,
2026/06/01 09:02:00,
2026/06/01 09:03:00,
2026/06/01 09:04:00,
2026/06/01 09:05:00,0.6932063997380293
2026/06/01 09:06:00,
2026/06/01 09:07:00,
2026/06/01 09:08:00,
2026/06/01 09:09:00,
2026/06/01 09:10:00,0.6833269277481522
2026/06/01 09:11:00,
2026/06/01 09:12:00,
2026/06/01 09:13:00,
2026/06/01 09:14:00,
2026/06/01 09:15:00,0.5817602180161001
2026/06/01 09:16:00,
2026/06/01 09:17:00,
2026/06/01 09:18:00,
2026/06/01 09:19:00,
2026/06/01 09:20:00,0.1966334176759939
2026/06/01 09:21:00,
2026/06/01 09:22:00,
2026/06/01 09:23:00,
2026/06/01 09:24:00,
2026/06/01 09:25:00,0.1616696532022432
2026/06/01 09:26:00,
2026/06/01 09:27:00,
2026/06/01 09:28:00,
2026/06/01 09:29:00,
2026/06/01 09:30:00,0.16166437996761088
2026/06/01 09:31:00,
2026/06/01 09:32:00,
2026/06/01 09:33:00,
2026/06/01 09:34:00,
2026/06/01 09:35:00,0.16502543922926788
2026/06/01 09:36:00,
2026/06/01 09:37:00,
2026/06/01 09:38:00,
2026/06/01 09:39:00,
2026/06/01 09:40:00,1.3899052225883037
